			cm	t		distancia
65	63.804375	65	63.804375	0.015384615	2.313312872	0.63804375
65	63.804375	65	63.804375	0.015384615	2.328697488	0.63804375
65	64.723158	65	64.723158	0.015384615	2.344082103	0.64723158
64	64.6551	64	64.6551	0.015625	2.359707103	0.646551
64	64.740173	64	64.740173	0.015625	2.375332103	0.64740173
64	64.229738	64	64.229738	0.015625	2.390957103	0.64229738
64	64.638086	64	64.638086	0.015625	2.406582103	0.64638086
64	64.638086	64	64.638086	0.015625	2.422207103	0.64638086
64	64.638086	64	64.638086	0.015625	2.437832103	0.64638086
63	64.740173	63	64.740173	0.015873016	2.453705119	0.64740173
63	64.638086	63	64.638086	0.015873016	2.469578135	0.64638086
63	65.097477	63	65.097477	0.015873016	2.485451151	0.65097477
63	65.097477	63	65.097477	0.015873016	2.501324167	0.65097477
63	65.097477	63	65.097477	0.015873016	2.517197182	0.65097477
63	64.638086	63	64.638086	0.015873016	2.533070198	0.64638086
62	64.638086	62	64.638086	0.016129032	2.549199231	0.64638086
62	64.212723	62	64.212723	0.016129032	2.565328263	0.64212723
62	65.52284	62	65.52284	0.016129032	2.581457295	0.6552284
62	64.740173	62	64.740173	0.016129032	2.597586327	0.64740173
62	65.097477	62	65.097477	0.016129032	2.61371536	0.65097477
62	59.108373	62	59.108373	0.016129032	2.629844392	0.59108373
62	64.638086	62	64.638086	0.016129032	2.645973424	0.64638086
61	65.165535	61	65.165535	0.016393443	2.662366867	0.65165535
61	64.638086	61	64.638086	0.016393443	2.678760309	0.64638086
61	64.6551	61	64.6551	0.016393443	2.695153752	0.646551
61	64.672115	61	64.672115	0.016393443	2.711547195	0.64672115
61	65.063448	61	65.063448	0.016393443	2.727940637	0.65063448
61	64.6551	61	64.6551	0.016393443	2.74433408	0.646551
61	64.638086	61	64.638086	0.016393443	2.760727523	0.64638086
61	64.638086	61	64.638086	0.016393443	2.777120965	0.64638086
61	64.6551	61	64.6551	0.016393443	2.793514408	0.646551
61	64.229738	61	64.229738	0.016393443	2.80990785	0.64229738
61	65.52284	61	65.52284	0.016393443	2.826301293	0.6552284
61	64.6551	61	64.6551	0.016393443	2.842694736	0.646551
61	64.757187	61	64.757187	0.016393443	2.859088178	0.64757187
61	64.212723	61	64.212723	0.016393443	2.875481621	0.64212723
61	64.638086	61	64.638086	0.016393443	2.891875064	0.64638086
61	65.52284	61	65.52284	0.016393443	2.908268506	0.6552284
